date,steps
2022-04-24,13858
2022-04-25,9677
2022-04-26,4887
2022-04-27,11603
2022-04-28,8457
2022-04-29,6477
2022-04-30,7922
2022-05-01,9372
2022-05-02,13467
2022-05-03,28162
2022-05-04,48940
2022-05-05,45765
2022-05-06,16110
2022-05-07,16209
2022-05-08,11282
2022-05-09,19947
2022-05-10,10770
2022-05-11,9912
2022-05-12,6735
2022-05-13,6742
2022-05-14,5496
2022-05-15,11278
2022-05-16,11162
2022-05-17,5080
2022-05-18,8525
2022-05-19,4698
2022-05-20,10415
2022-05-21,10116
2022-05-22,10288
2022-05-23,6373
2022-05-24,3372
2022-05-25,6369
2022-05-26,18569
2022-05-27,8293
2022-05-28,15173
2022-05-29,6072
2022-05-30,10302
2022-05-31,10985
2022-06-01,11062
2022-06-02,3629
2022-06-03,6204
2022-06-04,13680
2022-06-05,5403
2022-06-06,10361
2022-06-07,5125
2022-06-08,5525
2022-06-09,13475
2022-06-10,5838
2022-06-11,10477
2022-06-12,10904
2022-06-13,1250
2022-06-14,5841
2022-06-15,13167
2022-06-16,8432
2022-06-17,4196
2022-06-18,14091
2022-06-19,12219
2022-06-20,12159
2022-06-21,9413
2022-06-22,2950
2022-06-23,5726
